asa_size;asa_designation;iso_reference;pitch_P_in_text;pitch_P_in_decimal;pitch_P_mm;inner_width_E_mm;roller_diameter_R_mm;plate_height_H_mm;pin_diameter_G_mm;overall_width_L_mm;plate_thickness_T_mm;breaking_load_kgf;weight_kg_per_m
25;ASA 25-1;04C-1;1/4 in;0,25;6,35;3,18;3,30;6,00;2,31;7,90;0,80;350;0,15
35;ASA 35-1;06C-1;3/8 in;0,375;9,53;4,77;5,08;8,70;3,58;12,30;1,30;790;0,33
41;ASA 41-1;085A-1;1/2 in;0,5;12,70;6,25;7,77;9,91;3,58;13,75;1,30;1284;0,41
40;ASA 40-1;08A-1;1/2 in;0,5;12,70;7,85;7,95;12,00;3,96;16,60;1,50;1410;0,62
50;ASA 50-1;10A-1;5/8 in;0,625;15,87;9,40;10,16;15,09;5,08;20,70;2,03;2220;1,02
60;ASA 60-1;12A-1;3/4 in;0,75;19,05;12,57;11,91;18,00;5,94;25,90;2,42;3180;1,50
80;ASA 80-1;16A-1;1 in;1;25,40;15,75;15,88;24,00;7,92;32,70;3,25;5670;2,60
100;ASA 100-1;20A-1;1-1/4 in;1,25;31,75;18,90;19,05;30,00;9,53;40,40;4,00;8850;3,91
120;ASA 120-1;24A-1;1-1/2 in;1,5;38,10;25,22;22,23;35,70;11,10;50,30;4,80;12700;5,62
140;ASA 140-1;28A-1;1-3/4 in;1,75;44,45;25,22;25,40;41,00;12,70;54,40;5,60;17240;7,70
160;ASA 160-1;32A-1;2 in;2;50,80;31,55;28,58;47,80;14,27;64,80;6,40;22680;10,10
180;ASA 180-1;36A-1;2-1/4 in;2,25;57,15;35,50;35,71;53,60;17,46;72,80;7,20;34000;13,50
200;ASA 200-1;40A-1;2-1/2 in;2,5;63,50;37,85;39,68;60,00;19,85;80,30;8,00;35380;16,15
240;ASA 240-1;48A-1;3 in;3;76,20;47,35;47,63;72,39;23,81;95,50;9,50;51030;23,20
